nConfigId	nId	szQuestion	szChoice1	szChoice2	szChoice3	szChoice4
1	39	Ngày Nguyên Tiêu, truyền thống dân gian thường làm gì để bảo vệ gia đình khỏi ma quỷ?	Đốt pháo hoa	Rước đèn lồng	Treo lồng đèn	Lì xì
1	40	Nguyên Tiêu có nghĩa là gì?	Một loại hoa	Một loại mứt	Một ngày lễ truyền thống	Một loại trái cây
1	41	Nguyên Tiêu có nguồn gốc từ văn hóa quốc gia nào?	Việt Nam	Nhật Bản	Trung Quốc	Hàn Quốc
1	42	Nguyên Tiêu gắn liền với tín ngưỡng thờ vị thần nào?	Thần tài	Thần nông	Thần gió	Thần cát
1	43	Tên gọi khác của Tết Nguyên Tiêu là gì?	Tết Hàn thực	Tết Thanh Minh	Tết Đoan Ngọ	Tết Thượng Nguyên
1	44	Tết Nguyên Tiêu diễn ra vào ngày nào âm lịch?	Rằm tháng Giêng	Rằm tháng Hai	Mùng 1 tháng Giêng	Mùng 3 tháng Giêng
1	45	Trò chơi dân gian nào thường được chơi trong mùa xuân?	Nhảy dây	Kéo co	Bịt mắt bắt dê	Thả diều
1	46	Trong quan niệm dân gian, cây gì thường được liên kết với mùa xuân và mang lại điều may mắn?	Lúa	Cỏ	Tre	Bưởi
1	47	Trong truyền thống, mùa xuân thường được mô tả như thế nào?	Mùa khô hanh	Mùa mưa lũ	Mùa lạnh giá	Mùa tươi tắn
1	48	Tục chơi câu đố trong ngày Tết Nguyên Tiêu bắt nguồn từ đâu?	Trung Quốc	Nhật Bản	Hàn Quốc	Việt Nam
1	49	Tục đi hái lộc trong ngày Tết Nguyên Tiêu có ý nghĩa gì?	Cầu mong sức khỏe	Xua đuổi tà ma	Gửi gắm nguyện vọng	Tất cả các đáp án trên
1	50	Tục ngữ nào sau đây nói về ý nghĩa của việc cúng tổ tiên trong ngày Tết Nguyên Tiêu?	Uống nước nhớ nguồn	Ăn quả nhớ kẻ trồng cây	Có kiêng có lành	Tất cả các đáp án trên
1	51	Tục rước đèn trong ngày Tết Nguyên Tiêu bắt nguồn từ thời nào của Trung Quốc?	Thời Tây Hán	Thời Đông Hán	Thời Tống	Thời Minh
1	52	Ý nghĩa của việc thắp đèn hoa đăng trong ngày Tết Nguyên Tiêu là gì?	Mong năm mới an khang	Xua đuổi tà ma	Gửi gắm nguyện vọng	Tất cả các đáp án trên
