nConfigId	nId	nAnswerId	szQuestion	szChoice1	szChoice2	szChoice3	szChoice4
1	31	4	Hoạt động vui chơi đặc biệt đêm Tết Trung Thu nào sau đây là đúng?	Phát bánh chưng	Chơi kéo co	Dựng cây Nêu	Rước đèn
1	32	3	Khi bị kéo lên Cung Trăng, Chú Cuội mang theo vật gì?	Cây sáo	Cây cuốc	Cây rìu	Cây quạt
1	33	4	Khi dùng vật phẩm Thái Vân Truy Nguyệt sẽ có tác dụng gì?	Tăng kinh nghiệm	Tăng tấn công	Tăng điểm tiềm năng	Tăng điểm kỹ năng
1	34	4	Kỹ năng "Phong Hoa Tuyết Nguyệt" là của hệ phái nào?	Cái Bang Chưởng	Minh Giáo Kiếm	Đoàn Thị Chỉ	Thúy Yên Đao
1	35	3	Làng nghề bánh Trung thu nổi tiếng ở ngoại ô Hà Nội?	Tây Tựu	Đường Lâm	Xuân Đỉnh	Phú Vinh
1	36	4	Loại bánh nào thường có trong ngày Tết Trung Thu ở các gia đình?	Bánh nướng	Bánh dẻo	Bánh pía	Tất cả đều đúng
1	37	3	Loại bánh nào thường được người dân Nhật Bản thưởng thức vào dịp lễ Trung Thu?	Bánh kem	Bánh Mochi	Bánh Dango	Bánh xếp
1	38	2	Loại bánh nướng có trong Tết Trung Thu thường màu gì?	Đỏ	Cam	Lam	Lục
1	39	3	Loại đèn nào trẻ em Việt Nam hay chơi khi Tết Trung Thu đến?	Đèn điện	Đèn bàn	Đèn ông sao	Đèn pin
1	40	3	Loại đồ chơi nào phổ biến nhất trong Tết Trung Thu tại Việt Nam?	Mặt nạ	Đèn ông sao	Cả hai câu đều đúng	Cả hai câu đều sai
1	41	1	Loài động vật nào thường gắn với hình ảnh Mặt Trăng trong văn hóa phương Tây?	Chó sói	Gấu	Voi	Sư tử
1	42	1	Loài động vật thần thoại nào gắn liền với Tết Trung Thu?	Thỏ Ngọc	Thanh Long	Phượng Hoàng	Kỳ Lân
1	43	1	Loại nhân bánh nào sau đây không được sử dụng trong bánh Trung Thu truyền thống?	Bơ đậu phộng	Đậu xanh	Hạt sen	Đậu đỏ
1	44	4	Loại nhân nào không thường được thấy ở bánh trung thu truyền thống?	Trứng muối	Đậu đỏ	Hạt sen	Cà phê
1	45	3	Loại trái cây là biểu tượng của sum họp trong dịp Tết Trung Thu?	Quả táo	Quả cam	Quả bưởi	Quả đào
1	46	4	Mâm ngũ quả đặc trưng bày biện trong Tết Trung Thu không bao gồm loại quả nào?	Chuối	Bưởi	Mãng cầu	Dưa leo
1	47	4	Mâm ngũ quả thường được bày biện để dâng cho ai?	Trời đất	Ông Táo	Ông Công	Tổ tiên
1	48	1	Mặt Trăng được hình thành khoảng bao nhiêu tỷ năm trước?	Khoảng 4,5 tỷ năm	Khoảng 3 tỷ năm	Khoảng 2,5 tỷ năm	Khoảng 1,5 tỷ năm
1	49	2	Món ngon truyền thống thường được ăn trong Tết Trung Thu?	Pizza	Bánh Trung Thu	Sushi	Há cảo
1	50	1	Một loại bánh nướng truyền thống dịp Trung Thu thường được nặn hình ảnh động vật này?	Con lợn	Con trâu	Con gà	Con mèo
1	51	2	Một trong những nhân vật được nhắc đến nhiều trong ngày Tết Trung Thu là ai?	Cô Tấm	Chị Hằng	Mị Châu	Lang Liêu
1	52	1	Mùa gì bé đón trăng rằm, rước đèn phá cỗ, chị Hằng cùng vui?	Mùa Thu	Mùa Hạ	Mùa Xuân	Mùa Đông
1	53	3	Mùa gì bé đón trăng rằm, rước đèn phá cỗ, chị Hằng cùng vui?	Xuân	Hạ	Thu	Đông
1	54	4	Nét đặc trưng của Tết Trung Thu là gì? 	Đốt pháo hoa	Đấu cờ tướng	Hóa trang	Thắp đèn lồng
1	55	3	Ngày Tết Trung Thu không được tổ chức ở quốc gia nào?	Hàn Quốc	Trung Quốc	Na Uy	Việt Nam
1	56	3	Ngày Tết Trung Thu thường được tổ chức ở các quốc gia khu vực nào?	Tây Âu	Tây Á	Đông Á	Đông Phi
1	57	3	Người dân Việt Nam thường có hoạt động gì trong Tết Trung Thu	Múa rối nước	Hát quan họ	Múa lân	Dựng cây Nêu
1	58	3	Nguyệt thực xảy ra khi vị trí thiên thể nào thẳng hàng với Mặt Trăng và Trái Đất?	Sao Thủy	Sao Hỏa	Mặt Trời	Trái Đất
1	59	4	Nhân vật nào được gắn liền với sự tích cung trăng?	Hằng Nga	Chú Cuội	Thỏ Ngọc	Tất cả đều đúng
1	60	1	Những bài thơ trong hát trống quân thường là thể thơ dạng gì?	Thơ lục bát	Thơ bốn chữ	Thơ tám chữ	Thơ tự do
1	61	3	Ông gì lơ lửng trời cao. Có cánh mà chẳng cánh nào lạ không?	Ông Địa	Ông Táo	Ông Sao	Ông Thần Tài
1	62	3	Phi hành gia nào được công nhận là người đầu tiên lên Mặt Trăng?	Yuri Gagarin	Buzz Aldrin	Neil Armstrong	Tất cả đều sai
1	63	1	Phong tục nào dưới đây có trong Tết Trung Thu?	Phá cỗ	Mừng tuổi	Bắn pháo hoa	Dựng cây Nêu
1	64	1	Quả gì: "Trông như quả bóng tròn xanh. Đung đưa trên cành chờ Tết Trung Thu"?	Quả bưởi	Quả đào	Quả khế	Quả báo
1	65	4	Quốc gia đầu tiên đưa tàu đổ bộ xuống cực nam Mặt Trăng là ai?	Nga	Hoa Kỳ	Trung Quốc	Ấn Độ
1	66	4	Quốc gia nào có tổ chức Tết Trung Thu?	Trung Quốc	Nhật Bản	Việt Nam	Tất cả đều đúng
1	67	2	Sao Hỏa có mấy Mặt Trăng?	1	2	3	4
1	68	2	Sự tích Chú Cuội gắn liền với cây gì?	Cây sung	Cây đa	Cây đề	Cây bàng
1	69	1	Tác giả bài hát Thằng Cuội?	Lê Thương	Xuân Giao	Phong Nhã	Phạm Tuyên
1	70	2	Tại Hàn Quốc, Tết Trung Thu còn được gọi là lễ gì?	Lễ phục sinh	Lễ tạ ơn	Lễ ban phước	Tất cả đều sai
1	71	4	Tại Hàn Quốc, Tết Trung Thu người Hàn thường thưởng thức rượu?	Rượu gạo	Rượu Soju	Rượu Vodka	Rượu Sindoju
1	72	1	Tên gọi "Mặt Trăng" trong tiếng Latinh là gì?	Luna	Terra	Sol	Stella
1	73	3	Tên gọi "Trung Thu" có nghĩa là gì? 	Trăng sáng	Mùa thu	Trăng giữa thu	Trăng đầu tiên
1	74	4	Tên gọi một loại nhạc cụ có hình tròn như Mặt Trăng?	Đàn bầu	Đàn tranh	Đàn cò	Đàn kìm
1	75	1	Tết Trung Thu có nguồn gốc từ quốc gia nào?	Trung Quốc	Hàn Quốc	Nhật Bản	Việt Nam
1	76	3	Tết Trung Thu còn có tên gọi nào khác?	Tết Trông Mưa	Tết Bánh Kẹo	Tết Nhi Đồng	Tất cả đều sai
1	77	1	Tết Trung Thu được ví như ngày lễ nào của phương Tây?	Lễ Tạ Ơn	Giáng Sinh	Lễ Phục Sinh	Lễ Hóa Trang
1	78	1	Tết Trung Thu là lễ tạ ơn trời đất của nền văn minh nào?	Lúa nước	Lúa khô	Lúa mì	Ngô bắp
1	79	2	Tết Trung Thu là ngày Tết dành cho ai?	Trẻ em	Tất cả mọi người	Thanh niên	Phụ nữ
1	80	4	Tết Trung Thu ở Việt Nam được tổ chức ngày nào?	17 tháng 8 âm lịch	18 tháng 7 âm lịch	13 tháng 6 âm lịch	15 tháng 8 âm lịch
1	81	2	Tết Trung Thu trùng với thời điểm thu hoạch gì?	Thu hoạch cá	Thu hoạch lúa	Thu hoạch rau	Thu hoạch quả
1	82	4	Thành phố nào nổi tiếng với lễ hội hoa đăng lớn nhất Việt Nam?	Đà Lạt	Vũng Tàu	Cần Thơ	Hội An
1	83	2	Theo dân gian, cùng sống với Hằng Nga trên cung trăng là ai?	Trư Bát Giới	Thỏ Ngọc	Tôn Ngộ Không	Phú ông
1	84	2	Theo truyện cổ tích, ai là người Việt Nam đầu tiên lên Mặt Trăng?	Chị Hằng	Chú Cuội	Nửa người nửa rồng	Thỏ Ngọc
1	85	4	Theo truyền thống, bánh Trung Thu thường được ăn kèm với gì?	Nước suối	Nước ngọt	Nước đá	Trà
1	86	1	Theo truyền thuyết Trung Quốc, Hằng Nga là vợ của nhân vật nào?	Hậu Nghệ	Chú Cuội	Trư Bát Giới	Thỏ Ngọc
1	87	3	Theo truyền thuyết, Thỏ Ngọc đang làm gì trên Mặt Trăng?	Ăn cỏ	Đào hang	Giã thuốc	Nấu bánh
1	88	1	Trang phục thường dùng của trẻ em dịp Trung Thu là gì?	Áo dài	Đồ thể dục	Đồ bơi	Áo khoác
1	89	4	Trăng tròn trong Tết Trung Thu tượng trưng cho điều gì?	Sự sung túc	Đoàn viên	Thu hoạch	Tất cả đều đúng
1	90	2	Trò chơi dân gian nào thường không xuất hiện đêm Trung Thu?	Đánh đu	Bịt mắt bắt dê	Kéo co	Ô ăn quan
1	91	2	Trong 12 vị thần trên đỉnh Olympus, ai là thần Mặt Trăng?	Hera	Artemis	Poseidon	Athena
1	92	3	Trong các hoạt động sau, hoạt động nào không có tại Tết Trung Thu Việt Nam?	Múa lân	Rước đèn	Thả đèn hoa đăng	Tặng quà
1	93	4	Trong đêm Trung thu, dân gian Người Việt hay tổ chức các hoạt động gì?	Thưởng nguyệt	Thi cỗ	Thi đèn	Tất cả đều đúng
1	94	1	Trong Tết Trung Thu, trẻ em thường tham gia cuộc hoạt động gì tại các trường học? 	Làm lồng đèn	Đấu cờ vua	Diễn thời trang	Đấu võ
1	95	3	Trong truyện cổ tích, chú Cuội vì lý do gì mà phải lên Mặt Trăng?	Nói dối	Trốn nợ	Níu giữ cây Đa	Gặp chị Hằng
1	96	2	Trong truyền thuyết cổ tích, nhân vật Hằng Nga ở cung nào ở thiên đình?	Dao Trì	Quảng Hàn	Ngọc Hư	Tinh Nguyệt
1	97	2	Tục hát trống quân vào Tết Trung Thu thường được thực hiện bởi 1 cặp...	Nam - nam	Nam - nữ	Nữ - nữ	Tất cả đều đúng
1	98	2	Vào ngày Tết Trung Thu, ông Trăng có hình gì?	Hình vuông	Hình tròn	Hình tam giác	Hình chữ nhật
1	99	1	Vật liệu nào sau đây thường dùng làm lồng đèn truyền thống?	Giấy kiếng màu	Nhựa	Kim loại	Vải
1	100	1	Vỏ bánh dẻo trong Tết Trung Thu thường được làm bằng gì?	Bột nếp	Bột mì	Bột gạo	Tất cả đều sai
